wallet_id,pool_id,reason,metric,value,threshold
0xbdf9255fd9a205a5cd64dda55e5bc609975a6968,,Empty token symbols,token_symbols,0.0,1.0
0x94a468fcb53a043bf5cd95ef21892e02c71134be,,Empty token symbols,token_symbols,0.0,1.0
0xf72aa1ed351774c2e63521245c6bc01a0db186fa,,Empty token symbols,token_symbols,0.0,1.0
0x3e087135289aa1cc23a1ae6fe0f661546b2e40f9,,Empty token symbols,token_symbols,0.0,1.0
0x2cc410e3ea89a49ee7e6a33ba083b49d6cd03411,,Empty token symbols,token_symbols,0.0,1.0
0xd8e7ce8904819d5a93a6bfd48b794b0a1da41a58,,Empty token symbols,token_symbols,0.0,1.0
0x4a1e5e63166c7c7c46d0f8945b0d4d406906e7b8,,Empty token symbols,token_symbols,0.0,1.0
0x6b4de0941fd3d244b6d278e80f565552a373d613,,Empty token symbols,token_symbols,0.0,1.0
0xfd239f25f59ae13f73bf5ba66d1eb6334f93ef84,,Empty token symbols,token_symbols,0.0,1.0
0x54634deb9e5031f7c62ec55d5725d125a3fd191a,,Empty token symbols,token_symbols,0.0,1.0
0x8072bddfbe201e03d5787d50a3696ae210b8030a,,Empty token symbols,token_symbols,0.0,1.0
0x0c051b6b515fccaa6ebeda0196a31997fdc32a4f,,Empty token symbols,token_symbols,0.0,1.0
0x03a152deb210c20e5ee93b1f25feb8d9fb8dec9c,,Empty token symbols,token_symbols,0.0,1.0
0x42a9254bf5a41e87a30daf91b9e84a28fdd64476,,Empty token symbols,token_symbols,0.0,1.0
0xeae6d3e5750afa2c32af09c92d98015dd1645399,,Empty token symbols,token_symbols,0.0,1.0
0xad372fc324d77a7b4434746230121cd582314453,,Empty token symbols,token_symbols,0.0,1.0
0x218490a2487bb14f22a23e55721497102bf30ffe,,Empty token symbols,token_symbols,0.0,1.0
0x994f96722575b64b27cdbe327498f34aaa2f0043,,Empty token symbols,token_symbols,0.0,1.0
0x6afa1ea3aa8f20aef3ab088c8abb08b24ce1a30d,,Empty token symbols,token_symbols,0.0,1.0
0xd713138300fefe0afd8584631fba10dcb660665e,,Empty token symbols,token_symbols,0.0,1.0
0xbccb33aeaf45a95f366320c5469ee433c3ec752a,,Empty token symbols,token_symbols,0.0,1.0
0xb19eeeda25c5cf1d58658bf761ae4ac36f2f4c6c,,Empty token symbols,token_symbols,0.0,1.0
0x634aee01d84fa197f963e8975db4f5224a1cd63e,,Empty token symbols,token_symbols,0.0,1.0
0x5a4929cccdef41c671489bd31291838ea228ece7,,Empty token symbols,token_symbols,0.0,1.0
0x67c077438fad1e751adb6b9627ee410592d60a34,,Empty token symbols,token_symbols,0.0,1.0
0x0dc46c65f3b6aa6419b4a3de1b393a60a2db74e0,,Empty token symbols,token_symbols,0.0,1.0
0x8f11e7fde6a3140ba256748f5086d7bbd5753405,,Empty token symbols,token_symbols,0.0,1.0
0x12d742d3a98171e59a06154f87424fc504bc46ef,,Empty token symbols,token_symbols,0.0,1.0
0xf7ef3d11fdec32c70a4f34034794f4f047743af7,,Empty token symbols,token_symbols,0.0,1.0
0x831d9549bcc6e7091b50cd615f1c04b1a89f314e,,Empty token symbols,token_symbols,0.0,1.0
0xa85d0f31b33fc9adaf47887467f174a3abc18ca4,,Empty token symbols,token_symbols,0.0,1.0
0xef5454e245e95ef2a10363d190a03df8e755cfd6,,Empty token symbols,token_symbols,0.0,1.0
0x7f6c860dd508f194f3a866823e9968c67cc67038,,Empty token symbols,token_symbols,0.0,1.0
0x49329852f95a8d6c1214e1731473159d73d0c412,,Empty token symbols,token_symbols,0.0,1.0
0x965f9c3dd528f83fb0eb0b3592035c7897587a67,,Empty token symbols,token_symbols,0.0,1.0
0x4f5fe8da30c1c11fe537730940ced62ac37ea371,,Empty token symbols,token_symbols,0.0,1.0
0xa0cbb4fdd458ccc21f68b09a915ae058315e4ffa,,Empty token symbols,token_symbols,0.0,1.0
0xb5b0afc2d098eaeda50242f0e1ba754ce72bc133,,Empty token symbols,token_symbols,0.0,1.0
0x6185ee0a239a54f6d3ba72c4d055bc1495912dff,,Empty token symbols,token_symbols,0.0,1.0
0x2ad9229e0fc6ad024e6c6a3b2921833a02099626,,Empty token symbols,token_symbols,0.0,1.0
0xe8fdff462a99684ba0a401009bf208247c9a9b81,,Empty token symbols,token_symbols,0.0,1.0
0x6c3cc205c52db10be95cb0203aaafc739531ddb2,,Empty token symbols,token_symbols,0.0,1.0
0xbf57108189783e8a8de6422a3ca631e1f7de21d0,,Empty token symbols,token_symbols,0.0,1.0
0xb83f2d1b18f6f254ba53d23d25069c083d5b550c,,Empty token symbols,token_symbols,0.0,1.0
0x2d4ad8886c74ae1366d63b94ccf6233a899e9fdf,,Empty token symbols,token_symbols,0.0,1.0
0xd16d89cef8d5a6e02578332ca1b9811c210af7cd,,Empty token symbols,token_symbols,0.0,1.0
0x654bdc4a801f4fa0c5c0ae7d6402daafbe48791f,,Empty token symbols,token_symbols,0.0,1.0
0x48bcd49140c94e9cef912c5691f3017789749b65,,Empty token symbols,token_symbols,0.0,1.0
0x2a321554ef23ca5e1a417dccb610d496ede22eb2,,Empty token symbols,token_symbols,0.0,1.0
0x4d5e11cf6c0a3379bb13c39c28c5ff030e180106,,Empty token symbols,token_symbols,0.0,1.0
0x4bc160ae7360b2dc0cd192661830a8616154361c,,Empty token symbols,token_symbols,0.0,1.0
0x00eafe0de090f3bc023c1156f2bc42fb4550907b,,Empty token symbols,token_symbols,0.0,1.0
0x062384c30869a1ce1dcc6859d7bfca7a0b773a37,,Empty token symbols,token_symbols,0.0,1.0
0xbb50986619b084f5ac90f36d4e3c13a08149002c,,Empty token symbols,token_symbols,0.0,1.0
0x85de73454262e3205839efae1d8771c96efc50da,,Empty token symbols,token_symbols,0.0,1.0
0x84e4a385f34dea0641fe267c3baec035f662775f,,Empty token symbols,token_symbols,0.0,1.0
0xdf32c0028bb8c572080a06a9d56ae9b0b4327360,,Empty token symbols,token_symbols,0.0,1.0
0x763e9318f5e432db6eb925a4daeb2d030a902a32,,Empty token symbols,token_symbols,0.0,1.0
0xc39b0bf0b81d107fa172b0c24ad1e4d310949d02,,Empty token symbols,token_symbols,0.0,1.0
0xf6bef585274b100764ed9a2a54ef3b14384725b7,,Empty token symbols,token_symbols,0.0,1.0
0xe15136050e342d9d112e1c00adb5358662ce9f0c,,Empty token symbols,token_symbols,0.0,1.0
0xbf1978c0bd17fd99a0f4838feb0cdbdf8dcfae9b,,Empty token symbols,token_symbols,0.0,1.0
0x8d89abaa08393a82a6f3c4fa065ab3f7d2df9e6d,,Empty token symbols,token_symbols,0.0,1.0
0x311aa105f760a462743ad4cfab1f6d2f7a98d88f,,Empty token symbols,token_symbols,0.0,1.0
0x51fd836b1b08e453a001a0b7007083a7bb7b5590,,Empty token symbols,token_symbols,0.0,1.0
0x1f742217aef76d09c3c5bb3c967fbf94d22f1828,,Empty token symbols,token_symbols,0.0,1.0
0x99f9b4397e58d99b58db75347a009af17931f998,,Empty token symbols,token_symbols,0.0,1.0
0x78ec7e48f3914b3c529a72e3a20275621ade8a80,,Empty token symbols,token_symbols,0.0,1.0
